"TIMESTAMP","RECORD","Batt_Volt_Min","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","Indice_UV_Avg","Indice_UV_1_Avg","Indice_UV_2_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH_Avg","RH_Max","RH_Min","RH_Std","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"2023-01-24 21:10:00",46,10.54,0,0.008,0,0,0.1,3.99,1.711,21.52,21.71,21.17,0.101,42.14,43.65,41.37,0.523,1.233,2.45,0,0.508,1.718,875.4044,0
"2023-01-24 21:20:00",47,10.61,0,0.003,0,0,0.1,3.99,1.711,20.66,21.27,20.28,0.262,45.03,46.24,43.28,0.808,2.358,3.2,0.95,0.453,1.936,875.5351,0
"2023-01-24 21:30:00",48,10.57,0,0.016,0,0,0.1,3.99,1.711,20.43,20.62,20.15,0.116,45.55,46.79,44.13,0.657,2.181,3.2,0.95,0.424,1.887,875.6171,0
"2023-01-24 21:40:00",49,10.58,0,0.006,0,0,0.1,3.99,1.711,20.15,20.28,19.98,0.056,46.36,47.09,45.8,0.257,2.183,3.2,0.95,0.45,1.839,875.7396,0
"2023-01-24 21:50:00",50,10.58,0,0.008,0,0,0.1,3.99,1.711,20.06,20.28,19.84,0.078,46.72,47.4,46.14,0.268,2.195,3.2,1.7,0.358,1.79,875.8623,0
"2023-01-24 22:00:00",51,10.55,0,0.146,0,0,0.1,3.99,1.711,20.62,21.03,20.04,0.305,47.39,48.66,46.35,0.542,1.829,2.45,0.95,0.305,1.79,875.7719,0
"2023-01-24 22:10:00",52,10.55,0,0.005,0,0,0.1,3.99,1.711,19.92,20.93,19.09,0.526,49.27,51.05,46.69,1.008,2.171,3.2,0.95,0.385,1.911,875.7888,0
"2023-01-24 22:20:00",53,10.54,0,0,0,0,0.1,3.99,1.711,18.91,19.19,18.68,0.103,51.48,52.04,50.47,0.358,2.096,3.2,0.95,0.399,1.718,875.8212,0
"2023-01-24 22:30:00",54,10.55,0,0,0,0,0.1,3.99,1.711,18.81,19.02,18.54,0.113,52.08,53.02,51.56,0.458,2.001,3.2,0.95,0.513,1.694,875.8623,0
"2023-01-24 22:40:00",55,10.53,0,0.004,0,0,0.1,3.99,1.711,18.63,18.92,18.34,0.137,53.14,53.84,52.55,0.333,2.113,3.2,1.7,0.385,1.645,875.8867,0
"2023-01-24 22:50:00",56,10.53,0,0,0,0,0.1,3.99,1.711,18.24,18.58,17.97,0.114,55.08,55.99,53.77,0.499,2.283,3.2,0.95,0.47,1.5,875.8867,0
"2023-01-24 23:00:00",57,10.52,0,0.148,0,0,0.1,3.99,1.711,18.54,19.02,18.03,0.3,54.89,56.06,53.64,0.793,1.808,2.45,0.95,0.354,1.621,875.8868,0
"2023-01-24 23:10:00",58,10.5,0,0.241,0,0,0.1,3.99,1.711,18.91,19.29,18.54,0.203,53.87,54.86,52.79,0.619,2.249,3.2,1.7,0.365,1.597,875.9684,0
"2023-01-24 23:20:00",59,10.49,0,0.094,0,0,0.1,3.99,1.711,19.32,19.57,19.12,0.088,52.56,53.09,51.87,0.28,1.62,2.45,0.95,0.299,1.621,875.9603,0
"2023-01-24 23:30:00",60,10.44,0,0.006,0,0,0.1,3.99,1.711,18.98,19.4,18.37,0.257,53.51,55.68,52.27,0.977,1.866,2.45,0.95,0.359,1.597,875.9603,0
"2023-01-24 23:40:00",61,10.38,0,0,0,0,0.1,3.99,1.711,17.91,18.51,17.39,0.286,57.02,58.48,55.31,0.792,2.161,3.2,0.95,0.387,1.548,875.9029,0
"2023-01-24 23:50:00",62,10.37,0,0,0,0,0.1,3.99,1.711,17.5,17.66,17.32,0.062,58.76,59.67,58.03,0.375,1.857,3.2,0,0.512,1.548,875.8867,0
"2023-01-25 00:00:00",63,10.35,0,0.007,0,0,0.1,3.99,1.711,17.52,17.66,17.39,0.055,58.12,58.48,57.69,0.162,2.388,3.2,0.95,0.488,1.548,875.8867,0
"2023-01-25 00:10:00",64,10.33,0,0,0,0,0.1,3.99,1.711,17.24,17.49,16.98,0.111,58.91,59.4,58.34,0.206,2.168,3.2,0.95,0.416,1.452,875.8887,0
