"TOA5","Esolmet_CR6_IP","CR6","9884","CR6.Std.12.01","CPU:20230123_Esolmet_CR6.CR6","37906","Table1_60min"
"TIMESTAMP","RECORD","BattV","PTemp_C","I_glob_Avg","I_dir_Avg","I_dif_Avg","I_glob_inc_Avg","Indice_UV_Avg","Indice_UV_1","Indice_UV_2","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH","RH_Max","RH_Min","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","BP_mbar_Avg","Rain_mm_Tot"
"2023-02-07 13:00:00",3,12.93,27.3,-7999,-7999,-7999,-7999,-0.1,-4.011,-1.72,-501.1,-498.2,-504.4,2.036,-484.2,-484.2,-489.9,0,0,0,0,0.169,12.15874,0
"2023-02-07 14:00:00",4,12.93,27.68,-7999,-7999,-7999,-7999,-0.1,-4.011,-1.72,-498.8,-496,-502.1,2.061,-481.1,-481.1,-486.7,0,0,0,0,0.182,14.24486,0
"2023-02-07 15:00:00",5,12.9,27.75,-7999,-7999,-7999,-7999,-0.1,-4.011,-1.72,-497.7,-495.6,-499.9,1.931,-480.6,-480.6,-483.7,0,0,0,0,0.183,15.24181,0
"2023-02-07 16:00:00",6,12.91,27.84,-7999,-7999,-7999,-7999,-0.1,-4.01,-1.72,-497.4,-495.3,-499.5,1.93,-480.1,-480.1,-483.2,0,0,0,0,0.182,15.53768,0
"2023-02-07 17:00:00",7,12.9,27.88,-7999,-7999,-7999,-7999,-0.1,-4.01,-1.72,-497.1,-495.2,-499.1,1.926,-480,-480,-482.7,0,0,0,0,0.186,15.79096,0
"2023-02-07 18:00:00",8,12.89,28.27,-7999,-7999,-7999,-7999,-0.1,-4.01,-1.72,-496,-493.1,-499,2.048,-477.1,-477.1,-482.5,0,0,0,0,0.171,16.83949,0
"2023-02-23 09:00:00",0,13.6,27.1,0,0,0,0,0,-0.004,-0.002,-124,-109.3,-135.4,10.92,-91.8,-67.44,-91.8,0,0,0,0,0.155,445.1667,0
"2023-02-23 10:00:00",1,13.56,29.57,0,0,0,0,0,-0.004,-0.002,-429.3,-152.9,-491.1,89.4,-467.4,-108.8,-471.6,0,0,0,0,0.15,60.25595,0
"2023-02-23 11:00:00",2,13.44,32.31,0,0,0,0,0,-0.004,-0.002,-480.9,-466.1,-489.6,6.408,-441.5,-441.5,-470,0,0,0,0,0.156,31.17739,0
"2023-02-23 12:00:00",3,13.34,34.31,0,0,0,0,0,-0.004,-0.002,-463.4,-450.9,-471.3,5.472,-422.2,-422.2,-446.1,0,0,0,0,0.16,46.5268,0
"2023-02-23 14:00:00",4,13.32,34.45,0,0,0,0,0,-0.004,-0.002,-462.9,-452.3,-477,6.875,-424.3,-424.3,-448.5,0,0,0,0,0.162,47.06064,0
"2023-02-23 15:00:00",5,13.29,34.13,0,0,0,0,0,-0.004,-0.002,-450.7,-447.6,-455.6,2.097,-420.3,-418.2,-426.9,0,0,0,0,0.161,60.40429,0
"2023-02-23 16:00:00",6,13.29,35.37,0,0,0,0,0,-0.004,-0.002,-443.4,-435.4,-452.9,4.807,-403.4,-403.4,-423.4,0,0,0,0,0.163,68.3505,0
"2023-02-23 17:00:00",7,13.28,35.09,0,0,0,0,0,-0.004,-0.002,-437.4,-434.8,-440.7,1.967,-405.2,-402.7,-408.5,0,0,0,0,0.165,73.44508,0
"2023-02-23 18:00:00",8,13.11,33.41,0,0,0,0,0,-0.004,-0.002,-445.4,-437.1,-455.8,4.946,-423.8,-405.4,-426.8,0,0,0,0,0.159,64.76672,0
"2023-02-23 19:00:00",9,13.04,29.59,0,0,0,0,0,-0.004,-0.002,-466.6,-452.5,-484,8.55,-459.9,-424.2,-462.4,0,0,0,0,0.151,43.80822,0
"2023-02-23 20:00:00",10,12.97,25.99,0,0,0,0,0,-0.004,-0.002,-495,-481,-506.5,6.63,-490.4,-460.7,-492.7,0,0,0,0,0.145,17.23231,0
"2023-02-23 21:00:00",11,12.88,24.04,0,0,0,0,0,-0.004,-0.002,-510.2,-503,-516,3.285,-503.9,-490.8,-506.1,0,0,0,0,0.119,3.96728,0
"2023-02-23 22:00:00",12,12.85,22.81,0,0,0,0,0,-0.004,-0.002,-516.5,-512.2,-520.7,2.398,-510.7,-504,-512.9,0,0,0,0,0.119,-1.406502,0
"2023-02-23 23:00:00",13,12.81,21.92,0,0,0,0,0,-0.004,-0.002,-520.2,-516.9,-523.5,2.129,-514.8,-510.8,-516.9,0,0,0,0,0.116,-4.579482,0
"2023-02-24 00:00:00",14,12.81,20.83,0,0,0,0,0,-0.004,-0.002,-523,-519.6,-526.5,2.131,-519.3,-514.9,-521.3,0,0,0,0,0.114,-7.044226,0
"2023-02-24 01:00:00",15,12.79,20.17,0,0,0,0,0,-0.004,-0.002,-525.6,-522.6,-528.5,2.054,-522.3,-519.4,-524.2,0,0,0,0,0.112,-9.29743,0
"2023-02-24 02:00:00",16,12.79,19.49,135,117.9,162.1,105.1,0,-0.004,-0.002,-527.2,-524.5,-530,2.037,-524.7,-522.3,-526.6,0,0,0,0,0.111,-10.5518,0
"2023-02-24 03:00:00",17,12.77,19.27,537.2,518.1,568.7,345.6,0,-0.004,-0.002,-528.8,-526.1,-531.1,2.027,-526.1,"NAN","NAN",0,0,0,0,0.113,-11.85151,0
"2023-02-24 04:00:00",18,12.76,19.39,203.2,174,250.3,167.5,0,-0.004,-0.002,-528.9,-526.6,-531,2.016,-525.7,"NAN","NAN",0,0,0,0,0.112,-11.8676,0
"2023-02-24 05:00:00",19,12.77,18.34,1285,1359,1204,688.4,0,-0.003,-0.001,-529.3,-526.6,-532.4,2.08,"NAN","NAN","NAN",0,0,0,0,0.125,-12.21609,0
"2023-02-24 06:00:00",20,12.73,17.33,2856,3123,2544,1409,0,-0.003,-0.001,-531.6,-528.4,-534.5,2.104,"NAN","NAN","NAN",0,0,0,0,0.114,-14.10018,0
"2023-02-24 07:00:00",21,12.73,17,3388,3721,2998,1654,0,-0.003,-0.001,-533.2,-530.5,-535.6,2.051,"NAN","NAN","NAN",0,0,0,0,0.109,-15.29735,0
"2023-02-24 08:00:00",22,13.36,17.74,2516,2740,2256,1255,0,-0.004,-0.002,-533.3,-530.6,-535.4,2.044,"NAN","NAN","NAN",0,0,0,0,0.108,-15.32233,0
"2023-02-24 09:00:00",23,13.77,22.95,3.134,1.811,6.197,5.214,0,-0.004,-0.002,-529.1,-521.1,-534.6,3.363,-517.1,"NAN","NAN",0,0,0,0,0.137,-12.13478,0
"2023-02-24 10:00:00",24,13.65,25.91,0,0,0,0,0,-0.004,-0.002,-514.6,-507.3,-524.9,4.125,-497,-497,-518.9,0,0,0,0,0.124,0.259523,0
"2023-02-24 11:00:00",25,13.59,27.5,0,0,0,0,0,-0.004,-0.002,-504.6,-498.8,-511.1,3.094,-485.1,-485.1,-499.2,0,0,0,0,0.128,9.06628,0
"2023-02-24 12:00:00",26,13.56,29.19,0,0,0,0,0,-0.004,-0.002,-496.7,-489.8,-502.7,3.29,-472.9,-472.9,-487.6,0,0,0,0,0.132,16.5045,0
"2023-02-24 13:00:00",27,13.44,31.53,0,0,0,0,0,-0.004,-0.002,-485.3,-475,-493.6,4.763,-453.3,-453.3,-475.5,0,0,0,0,0.135,27.24876,0
"2023-02-24 14:00:00",28,13.36,33.12,0,0,0,0,0,-0.004,-0.002,-468.2,-460.1,-478.6,4.588,-434.2,-434.2,-455.9,0,0,0,0,0.137,43.72659,0
"2023-02-24 15:00:00",29,13.29,34.75,0,0,0,0,0,-0.004,-0.002,-454.8,-443.9,-463.8,5.383,-413.9,-413.9,-437.1,0,0,0,0,0.143,56.95048,0
"2023-02-24 16:00:00",30,13.28,35,0,0,0,0,0,-0.004,-0.002,-443.3,-440.4,-447.6,2.141,-409.4,-409.4,-417.1,0,0,0,0,0.143,67.53503,0
"2023-02-24 17:00:00",31,13.29,34.84,0,0,0,0,0,-0.004,-0.002,-443.5,-439.1,-448.6,2.85,-412.9,-407.9,-418,0,0,0,0,0.141,66.84441,0
"2023-02-24 18:00:00",32,13.09,34.41,0,0,0,0,0,-0.004,-0.002,-443.9,-441,-447.9,2.069,-414.2,-410.2,-417.4,0,0,0,0,0.139,67.07555,0
"2023-02-24 19:00:00",33,13.04,30.29,0,0,0,0,0,-0.004,-0.002,-460.6,-444.5,-480.2,10.53,-454.9,-414.4,-457.4,0,0,0,0,0.132,49.09587,0
"2023-02-24 20:00:00",34,12.97,26.65,0,0,0,0,0,-0.004,-0.002,-490.6,-477.2,-502.7,6.487,-485.3,-455.6,-487.5,0,0,0,0,0.124,21.265,0
"2023-02-24 21:00:00",35,12.97,24.36,0,0,0,0,0,-0.004,-0.002,-508.5,-499.4,-515,3.961,-502.5,-485.7,-504.7,0,0,0,0,0.121,5.440158,0
"2023-02-24 22:00:00",36,12.9,23.23,0,0,0,0,0,-0.004,-0.002,-515.1,-511.3,-519.1,2.219,-508.4,-502.6,-510.5,0,0,0,0,0.119,-0.201741,0
"2023-02-24 23:00:00",37,12.89,21.87,0,0,0,0,0,-0.004,-0.002,-519.8,-515.3,-523.7,2.376,-515,-508.5,-517.1,0,0,0,0,0.115,-4.322901,0
"2023-02-25 00:00:00",38,12.85,21.59,0,0,0,0,0,-0.004,-0.002,-523.2,-519.8,-525.8,2.083,-517.6,-515.1,-520.3,0,0,0,0,0.115,-7.22432,0
"2023-02-25 01:00:00",39,12.8,20.88,30.13,17.45,59.15,44.4,0,-0.004,-0.002,-523.8,-521.2,-526.7,2.054,-519.7,-517.3,-521.7,0,0,0,0,0.114,-7.685744,0
"2023-02-25 02:00:00",40,12.81,20.52,317.2,281,377.5,241.6,0,-0.004,-0.002,-525.5,-522.8,-527.8,2.018,-521.3,-519.7,-523.3,0,0,0,0,0.117,-9.179011,0
"2023-02-25 03:00:00",41,12.77,19.61,1421,1512,1320,748.3,0,-0.003,-0.001,-526.8,-523.9,-529.8,2.079,-524.4,-521.3,-526.3,0,0,0,0,0.111,-10.26233,0
"2023-02-25 04:00:00",42,12.77,19.4,2081,2252,1885,1053,0,-0.003,-0.001,-528.6,-525.9,-530.8,2.023,-525.8,"NAN","NAN",0,0,0,0,0.11,-11.73587,0
"2023-02-25 05:00:00",43,12.74,19.52,1782,1914,1630,917,0,-0.004,-0.002,-528.6,-526.4,-530.7,2.015,-525.4,"NAN","NAN",0,0,0,0,0.111,-11.6112,0
"2023-02-25 06:00:00",44,12.73,19.05,1887,2033,1720,966,0,-0.003,-0.001,-528.6,-526.4,-531.2,2.027,-526.6,"NAN","NAN",0,0,0,0,0.11,-11.63895,0
"2023-02-25 07:00:00",45,12.74,18.34,2658,2897,2374,1318,0,-0.003,-0.001,-530,-527.2,-532.8,2.067,"NAN","NAN","NAN",0,0,0,0,0.11,-12.83785,0
"2023-02-25 08:00:00",46,13.16,19.05,1778,1905,1622,915,0,-0.004,-0.002,-530.7,-527.9,-532.9,2.04,"NAN","NAN","NAN",0,0,0,0,0.109,-13.28093,0
"2023-02-25 09:00:00",47,13.79,22.93,0,0,0,0,0,-0.004,-0.002,-526.1,-518.7,-531.9,3.514,-513.6,"NAN","NAN",0,0,0,0,0.114,-9.408858,0
"2023-02-25 10:00:00",48,13.67,25.38,0,0,0,0,0,-0.004,-0.002,-515.3,-509,-522.5,3.437,-499.6,-499.6,-515.6,0,0,0,0,0.121,-0.1453618,0
"2023-02-25 11:00:00",49,13.59,27.53,0,0,0,0,0,-0.004,-0.002,-506.1,-499.2,-512.9,3.472,-485.8,-485.8,-501.8,0,0,0,0,0.13,7.88134,0
"2023-02-25 12:00:00",50,13.52,29.99,0,0,0,0,0,-0.004,-0.002,-495.4,-486,-503,4.33,-467.9,-467.9,-488.2,0,0,0,0,0.133,17.83686,0
"2023-02-25 13:00:00",51,13.39,32.15,0,0,0,0,0,-0.004,-0.002,-478.7,-469,-489.7,5.464,-445.5,-445.5,-470.4,0,0,0,0,0.137,33.44255,0
"2023-02-25 14:00:00",52,13.32,34.31,0,0,0,0,0,-0.004,-0.002,-462.1,-450.5,-472.7,5.908,-422.1,-422.1,-448.4,0,0,0,0,0.14,49.58379,0
"2023-02-25 15:00:00",53,13.28,35.05,0,0,0,0,0,-0.004,-0.002,-446.5,-441,-454.1,3.148,-410.3,-410.3,-425.1,0,0,0,0,0.143,64.60319,0
"2023-02-25 16:00:00",54,13.26,35.86,0,0,0,0,0,-0.004,-0.002,-438.6,-431.9,-444.7,3.43,-399.4,-399.4,-413.6,0,0,0,0,0.143,72.52658,0
"2023-02-25 17:00:00",55,13.25,36.12,0,0,0,0,0,-0.004,-0.002,-429.9,-426.2,-435.6,2.508,-394.2,-392.5,-402.7,0,0,0,0,0.144,80.7803,0
"2023-02-25 18:00:00",56,13.09,34.24,0,0,0,0,0,-0.004,-0.002,-434.4,-427.4,-447.7,5.766,-413.9,-393.9,-416.9,0,0,0,0,0.141,75.18098,0
"2023-02-25 19:00:00",57,13.05,30.9,0,0,0,0,0,-0.004,-0.002,-459.6,-444.6,-475.9,8.19,-449.4,-414.5,-452,0,0,0,0,0.132,50.10974,0
"2023-02-25 20:00:00",58,12.97,27.9,0,0,0,0,0,-0.004,-0.002,-486.4,-472.9,-497.2,6.242,-477.6,-450.1,-480,0,0,0,0,0.128,25.09311,0
"2023-02-25 21:00:00",59,12.93,25.35,0,0,0,0,0,-0.004,-0.002,-503.1,-493.7,-510.8,4.459,-496.5,-478,-498.8,0,0,0,0,0.123,10.28076,0
"2023-02-25 22:00:00",60,12.92,24.1,0,0,0,0,0,-0.004,-0.002,-511.8,-507.1,-516.1,2.43,-504,-496.7,-506.2,0,0,0,0,0.118,2.66204,0
"2023-02-25 23:00:00",61,12.87,22.74,0,0,0,0,0,-0.004,-0.002,-517.1,-512.3,-521.2,2.495,-511.4,-504.1,-513.5,0,0,0,0,0.115,-2.004464,0
"2023-02-26 00:00:00",62,12.83,21.87,0,0,0,0,0,-0.004,-0.002,-520.5,-517.3,-523.7,2.084,-515.2,-511.4,-517.2,0,0,0,0,0.116,-4.908465,0
"2023-02-26 01:00:00",63,12.82,21.24,187,161.9,237.6,160,0,-0.004,-0.002,-523.4,-519.8,-526.1,2.118,-518.7,-515.3,-520.8,0,0,0,0,0.115,-7.390143,0
"2023-02-26 02:00:00",64,12.81,20.69,523.6,530.2,524.9,312.1,0,-0.004,-0.002,-524.4,-522,-527.3,2.032,-520.5,-518.5,-522.5,0,0,0,0,0.115,-8.237777,0
"2023-02-26 03:00:00",65,12.77,20.22,1471,1569,1364,772.1,0,-0.004,-0.002,-526.2,-523.3,-528.8,2.04,-522.7,-520.5,-524.7,0,0,0,0,0.117,-9.793725,0
"2023-02-26 04:00:00",66,12.76,20.35,994,1033,956,552.2,0,-0.004,-0.002,-526.5,-524.2,-528.8,2.019,-522.1,-521.9,-524.8,0,0,0,0,0.116,-10.01986,0
"2023-02-26 05:00:00",67,12.73,19.52,1951,2109,1771,991,0,-0.003,-0.001,-527.1,-524.4,-530,2.046,-524.6,-522.1,-526.6,0,0,0,0,0.112,-10.50845,0
"2023-02-26 06:00:00",68,12.73,19.03,2912,3188,2591,1433,0,-0.003,-0.001,-529.1,-526.1,-531.5,2.057,-527,"NAN","NAN",0,0,0,0,0.113,-12.12487,0
"2023-02-26 07:00:00",69,12.73,18.1,3640,4007,3213,1767,0,-0.003,-0.001,-530.2,-527.5,-533.2,2.082,"NAN","NAN","NAN",0,0,0,0,0.109,-13.03847,0
"2023-02-26 08:00:00",70,13.27,18.87,3103,3404,2755,1521,0,-0.004,-0.002,-531.5,-528.7,-533.8,2.041,"NAN","NAN","NAN",0,0,0,0,0.115,-14.05013,0
"2023-02-26 09:00:00",71,13.78,23.23,29.27,26.44,34.69,22.49,0,-0.004,-0.002,-526.6,-518.6,-532.7,3.625,-513.5,"NAN","NAN",0,0,0,0,0.121,-10.01981,0
"2023-02-26 10:00:00",72,13.62,26.59,0,0,0,0,0,-0.004,-0.002,-513.4,-504.8,-522.4,4.398,-493.6,-493.6,-515.4,0,0,0,0,0.126,1.355787,0
"2023-02-26 11:00:00",73,13.56,28.71,0,0,0,0,0,-0.004,-0.002,-501,-493.6,-508.6,3.724,-478,-478,-495.8,0,0,0,0,0.132,12.39544,0
"2023-02-26 12:00:00",74,13.48,31.05,0,0,0,0,0,-0.004,-0.002,-489.1,-479.1,-497.3,4.574,-458.7,-458.7,-480.5,0,0,0,0,0.135,23.44004,0
"2023-02-26 13:00:00",75,13.4,33.19,0,0,0,0,0,-0.004,-0.002,-472.5,-462.1,-482.8,5.139,-436.7,-436.7,-461.3,0,0,0,0,0.135,39.04705,0
"2023-02-26 14:00:00",76,13.27,35.14,0,0,0,0,0,-0.004,-0.002,-454.5,-442.4,-465.7,6.054,-412.2,-412.2,-439.5,0,0,0,0,0.141,56.72359,0
"2023-02-26 15:00:00",77,13.24,36.65,0,0,0,0,0,-0.004,-0.002,-435.9,-425.2,-446,5.335,-391.4,-391.4,-415.3,0,0,0,0,0.142,75.2318,0
"2023-02-26 16:00:00",78,13.25,37.29,0,0,0,0,0,-0.004,-0.002,-419.9,-415.3,-428.8,3.468,-379.6,-379.6,-394.7,0,0,0,0,0.146,90.58839,0
"2023-02-26 17:00:00",79,13.17,38.62,0,0,0,0,0,-0.004,-0.002,-407.3,-397.3,-419.1,6.727,-358.9,-358.9,-383.1,0,0,0,0,0.147,103.3377,0
"2023-02-26 18:00:00",80,13.09,36.23,0,0,0,0,0,-0.004,-0.002,-408.8,-397.3,-425.4,8.18,-387.2,-358.8,-390.3,0,0,0,0,0.143,99.35767,0
"2023-02-26 19:00:00",81,13.05,32.35,0,0,0,0,0,-0.004,-0.002,-445.8,-422.6,-465.8,12.2,-436.4,-387.9,-439.2,0,0,0,0,0.136,61.90027,0
"2023-02-26 20:00:00",82,12.97,29.49,0,0,0,0,0,-0.004,-0.002,-475.2,-462.7,-487.4,6.298,-464.5,-437,-467.1,0,0,0,0,0.131,35.30964,0
"2023-02-26 21:00:00",83,12.94,27.13,0,0,0,0,0,-0.004,-0.002,-494.1,-484.1,-502.5,4.752,-484.9,-465,-487.3,0,0,0,0,0.124,18.33624,0
"2023-02-26 22:00:00",84,12.89,26.16,0,0,0,0,0,-0.004,-0.002,-503.7,-498.9,-508,2.437,-492.5,-485.1,-494.9,0,0,0,0,0.124,9.939937,0
"2023-02-26 23:00:00",85,12.88,25.07,0,0,0,0,0,-0.004,-0.002,-508.1,-504.2,-512.3,2.304,-498.7,-492.6,-501,0,0,0,0,0.121,5.98479,0
"2023-02-27 00:00:00",86,12.85,23.83,0,0,0,0,0,-0.004,-0.002,-513,-508.6,-517.2,2.365,-505.6,-498.8,-507.8,0,0,0,0,0.117,1.549136,0
"2023-02-27 01:00:00",87,12.8,22.79,0,0,0,0,0,-0.004,-0.002,-517.9,-513.4,-521.7,2.404,-512.1,-505.7,-514.2,0,0,0,0,0.119,-2.737577,0
"2023-02-27 02:00:00",88,12.79,22.08,6.946,2.044,24.61,23.67,0,-0.004,-0.002,-520.1,-517.6,-523.3,2.042,-514.5,-512,-516.6,0,0,0,0,0.116,-4.568717,0
"2023-02-27 03:00:00",89,12.79,21.49,644.7,639.9,659.8,393.5,0,-0.004,-0.002,-522.9,-519.4,-525.7,2.123,-518,-514.6,-520.2,0,0,0,0,0.115,-7.052714,0
"2023-02-27 04:00:00",90,12.78,20.53,1479,1577,1372,776.6,0,-0.003,-0.001,-524.2,-521.6,-527.6,2.096,-521,-517.9,-523,0,0,0,0,0.114,-8.105793,0
"2023-02-27 05:00:00",91,12.73,19.82,2686,2934,2400,1330,0,-0.003,-0.001,-526.8,-523.7,-529.6,2.068,-524.1,-521.1,-526,0,0,0,0,0.112,-10.25807,0
"2023-02-27 06:00:00",92,12.73,19.19,3326,3653,2946,1624,0,-0.003,-0.001,-528.4,-525.7,-531.2,2.053,-526.4,"NAN","NAN",0,0,0,0,0.109,-11.62747,0
"2023-02-27 07:00:00",93,12.72,18.88,3438,3777,3043,1677,0,-0.003,-0.001,-529.4,-527.2,-531.8,2.021,"NAN","NAN","NAN",0,0,0,0,0.107,-12.39589,0
"2023-02-27 08:00:00",94,13.25,19.39,3040,3330,2705,1495,0,-0.004,-0.002,-530.1,-527.5,-532.4,2.029,-527,"NAN","NAN",0,0,0,0,0.109,-13.00838,0
"2023-02-27 09:00:00",95,13.71,23.85,37.42,35.04,42.25,26.8,0,-0.004,-0.002,-525.3,-516.8,-531.5,3.775,-510.8,"NAN","NAN",0,0,0,0,0.116,-8.92958,0
"2023-02-27 10:00:00",96,13.59,27.33,0,0,0,0,0,-0.004,-0.002,-510.7,-501.6,-520.6,4.849,-489.1,-489.1,-512.8,0,0,0,0,0.127,3.842168,0
"2023-02-27 11:00:00",97,13.52,29.63,0,0,0,0,0,-0.004,-0.002,-496.7,-488.4,-505.4,4.219,-471,-471,-491.4,0,0,0,0,0.129,16.2595,0
"2023-02-27 12:00:00",98,13.46,31.4,0,0,0,0,0,-0.004,-0.002,-484.4,-476.3,-492.1,3.868,-455.1,-455.1,-473.5,0,0,0,0,0.133,27.61683,0
"2023-02-27 13:00:00",99,13.36,33.55,0,0,0,0,0,-0.004,-0.002,-470,-459.1,-480,5.438,-433,-433,-457.8,0,0,0,0,0.137,41.31738,0
"2023-02-27 14:00:00",100,13.28,35.45,0,0,0,0,0,-0.004,-0.002,-451.7,-439.9,-462.7,6.016,-409.3,-409.3,-435.9,0,0,0,0,0.142,59.29555,0
"2023-02-27 15:00:00",101,13.21,37.57,0,0,0,0,0,-0.004,-0.002,-431.1,-416.2,-443.5,7.368,-381,-381,-412.4,0,0,0,0,0.145,80.23183,0
"2023-02-27 16:00:00",102,13.2,38.88,0,0,0,0,0,-0.004,-0.002,-406.4,-395.9,-419.7,6.29,-357.5,-357.5,-384.2,0,0,0,0,0.144,104.938,0
"2023-02-27 17:00:00",103,13.16,38.98,0,0,0,0,0,-0.004,-0.002,-394.8,-391.7,-399.7,2.266,-353.1,-352.6,-361.1,0,0,0,0,0.146,115.2699,0
"2023-02-27 18:00:00",104,13.04,36.95,0,0,0,0,0,-0.004,-0.002,-403.4,-392.2,-419.2,7.947,-380,-353.2,-383.3,0,0,0,0,0.144,104.824,0
"2023-02-27 19:00:00",105,13.01,33.62,0,0,0,0,0,-0.004,-0.002,-433.3,-416.1,-453.6,10.28,-421.2,-380.5,-424,0,0,0,0,0.139,74.52772,0
"2023-02-27 20:00:00",106,12.97,30.87,0,0,0,0,0,-0.004,-0.002,-466.2,-450.8,-478.8,7.272,-453.3,-422,-456,0,0,0,0,0.13,43.46279,0
"2023-02-27 21:00:00",107,12.93,27.92,0,0,0,0,0,-0.004,-0.002,-487.9,-475.5,-498.8,6.523,-479.9,-453.7,-482.3,0,0,0,0,0.127,23.75029,0
"2023-02-27 22:00:00",108,12.88,27.19,0,0,0,0,0,-0.004,-0.002,-499.2,-495.1,-503.2,2.235,-485.9,-480,-488.3,0,0,0,0,0.126,13.97833,0
"2023-02-27 23:00:00",109,12.88,26.76,0,0,0,0,0,-0.004,-0.002,-502.6,-499.4,-505.5,2.028,-489.1,-486,-491.6,0,0,0,0,0.125,10.89266,0
"2023-02-28 00:00:00",110,12.85,25.49,0,0,0,0,0,-0.004,-0.002,-506,-501.7,-510.8,2.494,-496.5,-489.2,-498.8,0,0,0,0,0.124,7.82811,0
"2023-02-28 01:00:00",111,12.81,24.28,0,0,0,0,0,-0.004,-0.002,-511.3,-507,-515.6,2.344,-503.4,-496.6,-505.6,0,0,0,0,0.12,3.081167,0
"2023-02-28 02:00:00",112,12.8,23.12,0,0,0,0,0,-0.004,-0.002,-516.2,-511.9,-520.2,2.351,-509.9,-503.5,-512.1,0,0,0,0,0.117,-1.334846,0
"2023-02-28 03:00:00",113,12.78,22.06,587.4,605.3,583.8,347.7,0,-0.003,-0.001,-519.7,-516.3,-523.3,2.14,-514.5,-510,-516.6,0,0,0,0,0.115,-4.286393,0
"2023-02-28 04:00:00",114,12.75,21.13,2071,2242,1875,1048,0,-0.003,-0.001,-523.1,-519.5,-526.4,2.144,-519.1,-514.6,-521.1,0,0,0,0,0.116,-7.270766,0
"2023-02-28 05:00:00",115,12.73,20.6,2650,2894,2370,1313,0,-0.003,-0.001,-525.2,-522.5,-527.8,2.03,-521.3,-519.1,-523.3,0,0,0,0,0.11,-9.015872,0
"2023-02-28 06:00:00",116,12.72,19.51,3646,4012,3219,1771,0,-0.003,-0.001,-527,-523.9,-530.3,2.128,-525.1,-521.3,-527,0,0,0,0,0.113,-10.51147,0
"2023-02-28 07:00:00",117,12.7,18.8,4243,4683,3727,2045,0,-0.003,-0.001,-529.2,-526.4,-532,2.056,"NAN","NAN","NAN",0,0,0,0,0.109,-12.29326,0
"2023-02-28 08:00:00",118,13.11,19.29,3848,4238,3391,1864,0,-0.003,-0.001,-530.3,-527.8,-532.6,2.029,"NAN","NAN","NAN",0,0,0,0,0.11,-13.18914,0
"2023-02-28 09:00:00",119,13.67,23.47,288.9,304,273.7,157.4,0,-0.004,-0.002,-525.9,-518.1,-531.8,3.522,-512.8,"NAN","NAN",0,0,0,0,0.118,-9.495236,0
